x1,x2,x3,x4,x5,x6,x8,x9,x10,x11,x13,x7_Beach,x7_Casahouse,x7_Horses,x7_Mojodojo,x7_Sublime
99.24698000000001,-0.46355,-96.68109,-1.25631,199.30889,-140.94793,1.0702399999999999,-0.47506000000000004,11.23413,2.5751,447.89434000000006,1,0,0,0,0
100.69112,-0.76481,-97.75936,-1.2807899999999999,200.76051,-148.57147,0.06501,-0.22025999999999998,9.38919,1.15893,454.5759,0,1,0,0,0
100.45979,-0.1815,-96.72270999999999,-1.27106,200.52695,-145.68473999999998,0.75997,0.35594000000000003,11.35137,3.7300199999999997,453.93760999999995,0,1,0,0,0
99.61802,-0.72028,-95.77843,-1.25958,199.68197,-140.95782,0.24756,0.10611,12.204880000000001,-1.58528,450.2009,1,0,0,0,0
98.75375,0.1196,-100.78891999999999,-1.29145,198.82468,-146.9071,1.925,0.51205,10.0886,-4.60008,443.37427,0,0,1,0,0
98.62371,-0.9416700000000001,-96.73921,-1.2795299999999998,198.69311000000002,-146.58562,1.57612,2.44422,11.24156,3.60368,444.74897000000004,0,0,1,0,0
99.41901,-0.20648000000000002,-95.47417,-1.2937299999999998,199.49167,-147.46943000000002,-0.6823600000000001,-1.02021,10.97332,3.03282,449.35795,1,0,0,0,0
100.53766,1.80465,-98.2706,-1.2948899999999999,200.6086,-151.45175,2.55777,0.78779,13.131110000000001,-0.30568,453.55297,0,1,0,0,0
99.57648,-0.29038,-104.30096999999999,-1.29145,199.64696999999998,-147.90773000000002,-2.8942200000000002,-0.04081,13.01255,-3.9488800000000004,445.73192,1,0,0,0,0
98.38741,0.13389,-97.34137,-1.2686600000000001,198.45235,-141.88082,-0.30307,-1.58033,9.73953,-1.73445,443.26635999999996,0,0,1,0,0
98.6455,-0.42344,-98.01578,-1.22714,198.70004,-133.62315,-0.65277,0.53815,11.50305,1.02486,444.21963,0,0,1,0,0
100.69638,0.38931,-103.35591,-1.29674,200.76807,-147.68273,0.84911,0.76232,11.83153,-1.0757700000000001,451.80395,0,1,0,0,0
98.88263,-0.0028899999999999998,-100.06255999999999,-1.30451,198.95731999999998,-148.25221000000002,0.5387,-0.43846,12.967889999999999,4.0103800000000005,444.38189000000006,0,0,1,0,0
100.00765,-0.4389,-100.17215,-1.25968,200.07162,-140.78158,-2.4683200000000003,-0.11825999999999999,11.19714,0.12972999999999998,449.95218,0,1,0,0,0
101.3824,0.31325,-104.7082,-1.27242,201.44745,-145.53061,0.36161,-0.46125,12.747630000000001,0.85472,454.55787999999995,0,0,0,1,0
100.1037,-0.9933200000000001,-100.98914,-1.25862,200.16688,-141.31441,-0.52685,0.05985,12.00098,1.62637,450.02395,0,1,0,0,0
100.87783,0.28807,-104.80901999999999,-1.25504,200.93885,-143.06346000000002,2.82795,-3.6515800000000005,13.4221,0.18855,451.98464,0,1,0,0,0
